BRD_CD,CLASS,ITEM,ITEM_NM,SEX_NM,PRDT_NM,STYLE_CD,COLOR_CD,SIZE_CD,ORDER_QTY_KR,STOR_QTY_KR,SALE_QTY_CNS
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,BKM,180,50,60,19
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,BKM,190,100,115,49
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,BKM,200,160,190,83
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,BKM,210,130,180,119
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,BKM,220,110,195,163
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,BKM,230,50,160,149
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,PPS,180,20,30,6
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,PPS,190,40,70,25
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,PPS,200,60,110,45
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,PPS,210,70,135,51
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,PPS,220,100,180,49
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,PPS,230,110,175,46
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,WHS,180,50,60,18
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,WHS,190,60,75,30
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,WHS,200,100,130,63
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,WHS,210,150,220,101
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,WHS,220,240,380,207
X,Shoes,SH,신발,아동,하이퍼 샌디 키즈,DKSH5535N,WHS,230,200,335,213
X,Shoes,SH,신발,아동,웨이브 샌디 키즈,DKSH7245N,BES,180,80,160,53
X,Shoes,SH,신발,아동,웨이브 샌디 키즈,DKSH7245N,BES,190,100,200,88
X,Shoes,SH,신발,아동,웨이브 샌디 키즈,DKSH7245N,BES,200,100,200,109
X,Shoes,SH,신발,아동,웨이브 샌디 키즈,DKSH7245N,BES,210,150,300,138
X,Shoes,SH,신발,아동,웨이브 샌디 키즈,DKSH7245N,BES,220,250,500,165
X,Shoes,SH,신발,아동,웨이브 샌디 키즈,DKSH7245N,BES,230,220,440,168
X,Shoes,SH,신발,아동,웨이브 샌디 키즈,DKSH7245N,LPS,180,40,80,35
X,Shoes,SH,신발,아동,웨이브 샌디 키즈,DKSH7245N,LPS,190,60,120,70
X,Shoes,SH,신발,아동,웨이브 샌디 키즈,DKSH7245N,LPS,200,70,140,80
X,Shoes,SH,신발,아동,웨이브 샌디 키즈,DKSH7245N,LPS,210,75,150,63
