PERIOD,END_DT,BRD_CD,CLASS1,CLASS2,ITEM,ITEM_NM,PRDT_NM,PART_CD,COLOR_CD,TAG_PRICE,ORDER_QTY,STOR_QTY,ORDER_QTY_KR,STOR_QTY_KR,SALE_QTY_CNS,SALE_QTY_GLB,WH_QTY,STOCK_QTY_KR
전년,2024-09-29,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,07SBD,43000,690,0,600,0,0,0,0,0
전년,2024-09-29,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,43LDL,43000,930,0,700,0,0,0,0,0
전년,2024-09-29,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,50CRS,43000,1820,0,1500,0,0,0,0,0
전년,2024-10-06,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,07SBD,43000,220,0,0,0,0,0,0,0
전년,2024-10-06,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,43LDL,43000,565,0,0,0,0,0,0,0
전년,2024-10-06,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,50CRS,43000,1955,0,0,0,0,0,0,0
전년,2024-10-13,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,07SBD,43000,0,0,0,0,0,0,0,0
전년,2024-10-13,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,43LDL,43000,0,0,0,0,0,0,0,0
전년,2024-10-13,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,50CRS,43000,0,0,0,0,0,0,0,0
전년,2024-10-20,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,07SBD,43000,0,0,0,0,0,0,0,0
전년,2024-10-20,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,43LDL,43000,0,0,0,0,0,0,0,0
전년,2024-10-20,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,50CRS,43000,0,0,0,0,0,0,0,0
전년,2024-10-27,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,07SBD,43000,0,0,0,0,0,0,0,0
전년,2024-10-27,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,43LDL,43000,0,0,0,0,0,0,0,0
전년,2024-10-27,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,50CRS,43000,0,0,0,0,0,0,0,0
전년,2024-11-03,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,07SBD,43000,0,600,0,600,42,0,0,558
전년,2024-11-03,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,43LDL,43000,0,700,0,700,33,0,0,667
전년,2024-11-03,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,50CRS,43000,0,1500,0,1500,83,0,0,1417
전년,2024-11-10,M,ACC,Headwear,BN,비니,플러시 미야옹 비니,3ABNB1146,07SBD,43000,600,0,600,0,144,5,0,414
