style_id,style_name,season,gender,category,item,detail1,detail2,detail3,detail4,detail5,detail6,detail7,detail8,detail9,detail10,match_style_id,color_code,total_order_qty,total_order_tag
VDDH30165,나스카라 N,26F,women,DOWN,,new,semi-shiny,TX1,short,,light,,800fp,diamond,,,CAS,150,148500000
VDDH30165,나스카라 N,26F,women,DOWN,,new,semi-shiny,TX1,short,,light,,800fp,diamond,,,BKS,200,198000000
VDDH30865,나스카라 N 벨벳,26F,women,DOWN,,new,semi-shiny,TX2,short,,light,,800fp,diamond,,,BKL,500,495000000
VDDH11165,사다멜릭,26F,women,DOWN,,new,soft-matte,TX1,short,,light,,800fp,horizontal,,,CRS,150,148500000
VDDH11165,사다멜릭,26F,women,DOWN,,new,soft-matte,TX1,short,,light,,800fp,horizontal,,,BLL,150,148500000
VDDJ11565,퀼팅 숏 벨벳,26F,women,DOWN,,new,semi-shiny,TX2,short,,light,,700fp,diamond,,,BKL,300,267000000
VDDJ11465,퀼팅 숏 오로라,26F,women,DOWN,,new,semi-shiny,TX2,short,,light,,700fp,diamond,,,WHL,250,222500000
VDDJ31565,리아노리 미드,26F,women,DOWN,,carryover,semi-shiny,TX2,middle,,light,,800fp,nonquilting,,VDDJ31555,BGS,200,218000000
VDDJ31565,리아노리 미드,26F,women,DOWN,,carryover,semi-shiny,TX2,middle,,light,,800fp,nonquilting,,VDDJ31555,BKS,500,545000000
VDDJ31465,리아노리 미드,26F,women,DOWN,,carryover,semi-shiny,TX2,middle,,light,,800fp,nonquilting,,VDDJ31555,BRD,300,327000000
VDDH30265,에우리피데,26F,women,DOWN,,carryover,semi-shiny,TX1,middle,,light,,800fp,diamond,,VDDH31255,IVD,200,218000000
VDDH30265,에우리피데,26F,women,DOWN,,carryover,semi-shiny,TX1,middle,,light,,800fp,diamond,,VDDH31255,MTL,230,250700000
VDDH30265,에우리피데,26F,women,DOWN,,carryover,semi-shiny,TX1,middle,,light,,800fp,diamond,,VDDH31255,CAS,400,436000000
VDDH30265,에우리피데,26F,women,DOWN,,carryover,semi-shiny,TX1,middle,,light,,800fp,diamond,,VDDH31255,BKS,400,436000000
VDDH30365,에우리피데 벨벳,26F,women,DOWN,,carryover,semi-shiny,TX2,middle,,light,,800fp,diamond,,VDDH36355,BKL,2000,2180000000
VDDJ11765,퀼팅 미드,26F,women,DOWN,,new,semi-shiny,TX1,middle,,light,,800fp,modified,,,OLS,180,196200000
VDDJ11765,퀼팅 미드,26F,women,DOWN,,new,semi-shiny,TX1,middle,,light,,800fp,modified,,,MTL,180,196200000
VDDJ11765,퀼팅 미드,26F,women,DOWN,,new,semi-shiny,TX1,middle,,light,,800fp,modified,,,BKS,365,397850000
VDDJ31365,리아노리,26F,women,DOWN,,carryover,semi-shiny,TX2,long,,light,,800fp,nonquilting,,VDDJ31355,BKS,200,258000000
VDDJ31965,레지아 다운,26F,women,DOWN,,carryover,semi-shiny,TX2,long,,light,,800fp,nonquilting,,VDDJ31355,BGS,150,193500000
VDDJ31965,레지아 다운,26F,women,DOWN,,carryover,semi-shiny,TX2,long,,light,,800fp,nonquilting,,VDDJ31355,BKS,350,451500000
VDDH30465,나스카라 long,26F,women,DOWN,,new,semi-shiny,TX1,long,,light,,800fp,diamond,,,CAS,150,178500000
VDDH30465,나스카라 long,26F,women,DOWN,,new,semi-shiny,TX1,long,,light,,800fp,diamond,,,OLS,150,178500000
VDDJ36465,바를레타,26F,women,DOWN,,carryover,semi-shiny,TX1,short,,light,,800fp,diamond,,VDDJ36455,IVD,300,267000000
VDDJ36465,바를레타,26F,women,DOWN,,carryover,semi-shiny,TX1,short,,light,,800fp,diamond,,VDDJ36455,MTL,150,133500000
VDDJ36465,바를레타,26F,women,DOWN,,carryover,semi-shiny,TX1,short,,light,,800fp,diamond,,VDDJ36455,BKS,250,222500000
VDDJ33965,체프라노 N,26F,women,DOWN,,new,semi-matte,TX1,short,,light,,700fp,horizontal,,,CRS,200,178000000
VDDJ33965,체프라노 N,26F,women,DOWN,,new,semi-matte,TX1,short,,light,,700fp,horizontal,,,BKS,200,178000000
VDDJ33865,아트라니,26F,women,DOWN,,carryover,soft-matte,TX1,short,,light,,800fp,square,,VDDJ11855,CRS,470,418300000
VDDJ33865,아트라니,26F,women,DOWN,,carryover,soft-matte,TX1,short,,light,,800fp,square,,VDDJ11855,BRD,300,267000000
